p_c,R,M,e(pc),col2(pc),col3(pc)
1.000000e-15,4.500000e+01,4.103296e-06,1.071434e-11,8.749179e-09,9.249815e+02
1.320870e-15,4.500000e+01,4.996670e-06,1.305502e-11,1.065781e-08,9.254343e+02
1.744699e-15,4.500000e+01,5.991450e-06,1.566190e-11,1.278680e-08,9.254011e+02
2.304521e-15,4.500000e+01,7.305303e-06,1.910525e-11,1.559892e-08,9.253573e+02
3.043973e-15,4.500000e+01,9.040506e-06,2.365347e-11,1.931337e-08,9.252994e+02
4.020694e-15,4.500000e+01,1.085909e-05,2.841829e-11,2.320872e-08,9.251877e+02
5.310816e-15,4.500000e+01,1.317494e-05,3.448906e-11,2.817264e-08,9.250338e+02
7.014899e-15,4.500000e+01,1.623335e-05,4.250777e-11,3.472932e-08,9.248306e+02
9.265773e-15,4.500000e+01,1.990100e-05,5.211895e-11,4.257154e-08,9.248496e+02
1.223888e-14,4.500000e+01,2.407692e-05,6.306943e-11,5.147404e-08,9.253864e+02
1.616598e-14,4.500000e+01,2.959143e-05,7.753359e-11,6.323307e-08,9.260954e+02
2.135316e-14,4.500000e+01,3.687303e-05,9.663887e-11,7.876524e-08,9.270319e+02
2.820476e-14,4.500000e+01,4.443309e-05,1.164539e-10,9.491925e-08,9.270395e+02
3.725484e-14,4.500000e+01,5.434651e-05,1.424720e-10,1.161319e-07,9.270145e+02
4.920881e-14,4.500000e+01,6.743476e-05,1.768385e-10,1.441510e-07,9.269815e+02
6.499846e-14,4.500000e+01,8.500514e-05,2.230123e-10,1.818601e-07,9.266570e+02
8.585454e-14,4.500000e+01,1.049821e-04,2.754093e-10,2.245628e-07,9.266614e+02
1.134027e-13,4.500000e+01,1.289206e-04,3.383437e-10,2.757484e-07,9.271136e+02
1.497903e-13,4.500000e+01,1.587168e-04,4.165782e-10,3.393996e-07,9.275090e+02
1.978536e-13,4.500000e+01,1.945769e-04,5.109687e-10,4.162375e-07,9.276622e+02
2.613389e-13,4.500000e+01,2.409022e-04,6.327703e-10,5.155596e-07,9.275947e+02
3.451948e-13,4.500000e+01,2.956919e-04,7.788402e-10,6.356798e-07,9.259414e+02
4.559577e-13,4.500000e+01,3.948682e-04,1.038967e-09,8.472280e-07,9.268564e+02
6.022610e-13,4.500000e+01,4.843411e-04,1.274959e-09,1.040651e-06,9.258882e+02
7.955087e-13,4.500000e+01,5.924208e-04,1.561175e-09,1.273385e-06,9.264559e+02
1.050764e-12,4.500000e+01,7.348232e-04,1.939094e-09,1.580687e-06,9.272045e+02
1.387923e-12,4.500000e+01,8.975532e-04,2.369635e-09,1.930647e-06,9.276067e+02
1.833266e-12,4.500000e+01,1.110901e-03,2.938324e-09,2.392898e-06,9.281380e+02
2.421507e-12,4.500000e+01,1.360132e-03,3.598990e-09,2.928459e-06,9.288178e+02
3.198497e-12,4.500000e+01,1.675302e-03,4.443278e-09,3.612353e-06,9.297089e+02
4.224800e-12,4.500000e+01,2.106153e-03,5.610624e-09,4.566237e-06,9.290070e+02
5.580413e-12,4.500000e+01,2.627336e-03,7.000840e-09,5.697997e-06,9.288158e+02
7.371003e-12,4.500000e+01,3.227211e-03,8.615916e-09,7.015658e-06,9.286189e+02
9.736139e-12,4.500000e+01,3.960614e-03,1.060567e-08,8.642189e-06,9.278686e+02
1.286018e-11,4.500000e+01,4.870085e-03,1.307847e-08,1.066012e-05,9.277833e+02
1.698663e-11,4.500000e+01,5.997806e-03,1.627517e-08,1.327024e-05,9.272974e+02
2.243713e-11,4.500000e+01,7.601685e-03,2.061375e-08,1.676383e-05,9.299591e+02
2.963655e-11,4.500000e+01,9.290617e-03,2.536152e-08,2.064642e-05,9.290552e+02
3.914604e-11,4.500000e+01,1.141421e-02,3.153323e-08,2.568801e-05,9.283950e+02
5.170684e-11,4.500000e+01,1.442299e-02,4.025863e-08,3.269914e-05,9.312708e+02
6.829803e-11,4.500000e+01,1.767704e-02,4.960052e-08,4.031110e-05,9.307806e+02
9.021285e-11,4.500000e+01,2.155445e-02,6.114582e-08,4.970362e-05,9.306939e+02
1.191595e-10,4.500000e+01,2.625819e-02,7.529592e-08,6.116275e-05,9.314273e+02
1.573942e-10,4.500000e+01,3.195405e-02,9.279822e-08,7.532026e-05,9.322540e+02
2.078974e-10,4.500000e+01,3.905616e-02,1.192788e-07,9.689198e-05,9.316042e+02
2.746055e-10,4.500000e+01,4.869949e-02,1.559554e-07,1.265816e-04,9.323496e+02
3.627183e-10,4.500000e+01,6.047364e-02,1.925677e-07,1.562096e-04,9.329896e+02
4.791038e-10,4.500000e+01,7.293632e-02,2.447712e-07,1.984302e-04,9.336592e+02
6.328341e-10,4.500000e+01,8.786665e-02,3.034617e-07,2.459615e-04,9.339558e+02
8.358918e-10,4.500000e+01,9.796672e-02,6.257250e-07,5.064338e-04,9.346031e+02
1.104105e-09,4.500000e+01,1.034828e-01,1.017114e-06,8.228531e-04,9.347788e+02
1.458379e-09,4.500000e+01,1.087860e-01,1.256313e-06,9.511056e-04,9.967631e+02
1.926330e-09,4.500000e+01,1.162415e-01,1.518952e-06,1.133136e-03,1.019590e+03
2.544432e-09,4.500000e+01,1.246807e-01,1.865988e-06,1.414384e-03,1.007515e+03
3.360865e-09,4.500000e+01,1.330447e-01,2.324378e-06,1.785876e-03,9.915652e+02
4.439267e-09,4.500000e+01,1.405168e-01,2.929356e-06,2.276170e-03,9.744239e+02
5.863696e-09,4.500000e+01,1.465323e-01,3.726645e-06,2.922323e-03,9.661596e+02
7.745183e-09,4.500000e+01,1.507881e-01,4.779780e-06,3.775806e-03,9.583583e+02
1.023038e-08,4.500000e+01,1.532245e-01,6.176361e-06,4.907631e-03,9.525189e+02
1.351301e-08,4.500000e+01,1.532745e-01,1.109157e-05,8.889545e-03,9.440756e+02
1.784893e-08,4.500000e+01,1.505933e-01,1.103604e-05,8.833462e-03,9.456403e+02
2.357613e-08,4.500000e+01,1.481672e-01,1.598047e-05,1.280333e-02,9.448562e+02
3.114101e-08,4.500000e+01,1.451254e-01,2.251142e-05,1.804701e-02,9.438205e+02
4.113324e-08,4.500000e+01,1.414025e-01,2.723210e-05,2.183108e-02,9.436515e+02
5.433168e-08,4.500000e+01,1.363434e-01,3.144152e-05,2.519950e-02,9.440503e+02
7.176510e-08,4.500000e+01,1.307111e-01,3.700162e-05,2.964874e-02,9.445771e+02
9.479240e-08,4.500000e+01,1.246155e-01,4.128243e-05,3.306978e-02,9.450882e+02
1.252085e-07,4.500000e+01,1.184910e-01,4.667959e-05,3.738233e-02,9.457477e+02
1.653842e-07,4.500000e+01,1.135176e-01,5.262748e-05,4.213137e-02,9.465118e+02
2.184511e-07,4.500000e+01,1.104064e-01,5.915743e-05,4.734036e-02,9.474009e+02
2.885455e-07,4.500000e+01,1.101245e-01,6.639230e-05,5.310584e-02,9.484433e+02
3.811312e-07,4.500000e+01,1.136324e-01,7.479140e-05,5.979332e-02,9.497101e+02
5.034250e-07,4.500000e+01,1.225211e-01,8.363941e-05,6.682404e-02,9.511344e+02
6.649591e-07,4.500000e+01,1.376692e-01,9.387462e-05,7.494629e-02,9.528369e+02
8.783248e-07,4.500000e+01,1.593723e-01,1.054931e-04,8.414846e-02,9.548536e+02
1.160153e-06,2.979900e+01,1.871351e-01,1.185757e-04,9.448505e-02,9.572395e+02
1.532412e-06,2.231300e+01,2.208432e-01,1.331735e-04,1.059878e-01,9.600476e+02
2.024118e-06,1.969100e+01,2.611689e-01,1.494287e-04,1.187579e-01,9.633657e+02
2.673597e-06,1.723300e+01,3.088926e-01,1.677139e-04,1.330673e-01,9.672386e+02
3.531475e-06,1.590400e+01,3.650845e-01,1.878211e-04,1.487351e-01,9.718483e+02
4.664621e-06,1.492500e+01,4.316883e-01,2.091956e-04,1.653024e-01,9.772718e+02
6.161360e-06,1.423700e+01,5.111764e-01,2.320621e-04,1.829218e-01,9.837546e+02
8.138358e-06,1.368500e+01,6.063972e-01,2.563914e-04,2.015333e-01,9.915221e+02
1.074972e-05,1.339000e+01,7.202030e-01,2.822871e-04,2.211730e-01,1.000846e+03
1.419898e-05,1.319900e+01,8.551922e-01,3.100023e-04,2.419759e-01,1.012077e+03
1.875502e-05,1.299100e+01,1.013459e+00,3.398475e-04,2.641046e-01,1.025651e+03
2.477294e-05,1.296200e+01,1.196054e+00,3.723383e-04,2.878510e-01,1.042112e+03
3.272185e-05,1.292900e+01,1.402538e+00,4.077990e-04,3.133152e-01,1.062058e+03
4.322132e-05,1.290800e+01,1.630604e+00,4.470010e-04,3.408958e-01,1.086300e+03
5.708976e-05,1.292100e+01,1.875600e+00,4.906077e-04,3.708233e-01,1.115714e+03
7.540818e-05,1.301100e+01,2.130531e+00,5.397693e-04,4.035862e-01,1.151402e+03
9.960443e-05,1.280300e+01,2.386273e+00,5.961787e-04,4.399320e-01,1.194745e+03
1.315645e-04,1.277800e+01,2.632316e+00,6.617386e-04,4.805033e-01,1.247170e+03
1.737797e-04,1.273700e+01,2.857906e+00,7.393851e-04,5.263720e-01,1.310459e+03
2.295405e-04,1.253500e+01,3.053326e+00,8.330506e-04,5.788574e-01,1.386673e+03
3.031932e-04,1.232200e+01,3.211139e+00,9.477911e-04,6.393847e-01,1.477996e+03
4.004789e-04,1.207400e+01,3.327043e+00,1.090394e-03,7.096906e-01,1.586928e+03
5.289808e-04,1.184000e+01,3.399945e+00,1.269733e-03,7.917209e-01,1.716210e+03
6.987150e-04,1.152200e+01,3.431874e+00,1.497430e-03,8.876799e-01,1.868894e+03
9.229120e-04,1.118800e+01,3.427063e+00,1.788627e-03,1.000000e+00,2.048347e+03
